Arranjo,Tipo de Teste,Média Tempo (μs),Desvio Padrão Tempo (μs),Média Comparações,Desvio Padrão Comparações,Média Memória (bytes),Desvio Padrão Memória (bytes)
100000,Pior Cenário,20488,9929,100000,0,27364011,1931
1000000,Pior Cenário,123094,2748,1000000,0,71622656,81097
200000,Pior Cenário,36538,13581,200000,0,33133909,297354
300000,Pior Cenário,62330,17977,300000,0,38064128,81097
400000,Pior Cenário,69514,14338,400000,0,43130880,0
500000,Pior Cenário,70595,12170,500000,0,48220843,258737
600000,Pior Cenário,78241,6792,600000,0,53219328,353350
700000,Pior Cenário,98331,12274,700000,0,58228736,353350
800000,Pior Cenário,104281,11929,800000,0,63440213,355296
900000,Pior Cenário,118883,12793,900000,0,68085077,314732
100000,100 Números Aleatórios,10992,5996,49242,27537,27448812,21485
1000000,100 Números Aleatórios,71878,37489,497851,283011,71676232,17481
200000,100 Números Aleatórios,18602,10264,100900,53061,33063117,52882
300000,100 Números Aleatórios,26398,10840,167128,81681,38157230,11004
400000,100 Números Aleatórios,33234,15957,213809,120403,43229430,9137
500000,100 Números Aleatórios,35291,18975,244746,150260,48167444,55400
600000,100 Números Aleatórios,42492,21107,302961,171844,53165957,49171
700000,100 Números Aleatórios,49726,25008,364464,208249,58093937,52942
800000,100 Números Aleatórios,61095,39032,415096,228253,63343124,50431
900000,100 Números Aleatórios,58421,31606,426502,262140,68142080,96798
